filename delta_e bandgap volume_pa dosf stability
0-B1Ho5Si3 -0.54395171463 0.0 21.9257583568 0.0413550032745 0.1562533793
1-Li2O4Si1Sr1 -2.90723610447 4.94 11.2458596993 0.0415898973717 -0.042366791141
2-B3H8Na1 -0.177706885951 4.937 8.27780101152 0.0 0.0672481845544
3-Ba7Cl2O15Ru4 -2.23309640404 0.0 17.8735529386 0.024333055643 0.00889927857143
4-Pd2Si1Yb1 -0.919202896875 0.0 17.3882013433 0.0242405316795 -0.106450216057
5-Li8O6Tb1 -2.14396854172 0.0 9.40983744039 0.0489110262949 0.0553337671032
6-C3Y2 -0.2611652655 0.0 14.0000478997 0.0162474811628 0.0425344414314
7-Au1Mn2 0.195185117471 0.0 15.2899820341 0.0455057226265 0.251185262436
8-Bi1Mg2O6P1 -2.59009716507 3.814 12.1004075249 0.0060955402466 0.0180914697215
9-Au1Eu1P1 -1.15883208726 0.0 21.9086881298 0.000160056672706 -0.174401083329
10-Fe1H6O6P3 -1.285551817 2.539 10.0420155727 0.00310071534299 0.170518684682
11-As4I1K1O6 -1.52532324094 2.7 18.2447080894 0.0 -0.0364461039787
12-Ca1Ga1H4 -0.120032617343 0.0 10.3353305022 0.0132096427194 0.169888391014
13-Cd3Nb1 0.135690055 0.0 19.4622259665 0.0221569552953 0.135690055
14-Ni1Pd1Si1 -0.631082762778 0.0 12.6789359353 0.0199358321377 -0.00606055127249
15-N1Zr1 -1.34084505218 0.0 15.30166726 0.048990370262 None
16-Ba2Dy1Nb1O6 -3.31930541678 3.073 15.2299732784 0.0 -0.0574599108007
17-As7Ni12Tm2 -0.540986308333 0.0 13.7469263598 0.0614198129069 -0.0129317782943
18-Li3N4Ni4Sr3 -0.5629153132 0.0 16.8242432228 0.0297579261867 -0.0452352695332
19-F1Lu1O3Se1 -2.70292720837 4.492 12.4533137311 0.0 0.0395130366667
20-Cu1F4K2 -2.51090354622 0.0 14.3087169937 0.02733314172 0.00581502327566
21-Al12Fe4Gd5Mg5Si6 -0.377361328516 0.0 17.7101442527 0.0206594514471 0.0576167293066
22-In1Nb1S2 -1.00524787655 0.0 20.2902358785 0.0223070573478 -0.0456689592445
23-Co5Nd1P3 -0.866457727054 0.0 12.5430173655 0.0500156033175 -0.00781128727119
24-Eu2O7Ti2 -3.03101432113 0.0 12.2540056278 0.162453652341 0.828488454823
25-B3O9Sr3Y1 -3.1805274612 4.987 12.8976672892 0.0 0.0214068732847
26-Dy2S4Sr1 -2.2915897532 1.965 24.6163066488 0.0 0.00550594619262
27-Co2P2U1 -0.934885941707 0.0 13.7148857571 0.0944327951826 -0.0634651523608
28-O1S2Y2 -2.82492288411 2.692 19.3829723325 0.00181610011104 0.00913717233333
29-Cr1O6Ta2 -2.97458544676 1.014 11.7303538924 0.0 0.0639395017347
30-As1Pt1Yb1 -1.0928699875 0.0 20.7131457928 0.0284336075009 -0.117814471756
31-Hg1I6Tl4 -0.644820383942 1.071 37.9411969114 2.49011403577e-05 0.0218757672394
